iter	RMSE
0	8.386104729
1	7.907218963
2	7.465709916
3	7.04260804
4	6.667651221
5	6.37191957
6	6.045242665
7	5.833100121
8	5.56250942
9	5.332523226
10	5.115023092
11	4.877690296
12	4.672270366
13	4.507861237
14	4.347716148
15	4.216208619
16	4.061727405
17	3.963512607
18	3.885431823
19	3.797613002
20	3.698059383
21	3.632414107
22	3.56380745
23	3.481432086
24	3.419116942
25	3.353761186
26	3.296306096
27	3.241961626
28	3.165883361
29	3.096913125
30	3.03724799
31	2.979940814
32	2.92322709
33	2.875699014
34	2.833276246
35	2.801123006
36	2.767577047
37	2.732159044
38	2.703881477
39	2.661631446
40	2.621033905
41	2.594680877
42	2.558519796
43	2.531914832
44	2.508812176
45	2.475473674
46	2.44985334
47	2.4264955
48	2.402997558
49	2.374024692
50	2.355051014
51	2.333575857
52	2.314551889
53	2.295335486
54	2.269572533
55	2.241531303
56	2.223205512
57	2.210795714
58	2.194235706
59	2.181653799
60	2.171106278
61	2.150677683
62	2.133548495
63	2.110174174
64	2.097699707
65	2.090519271
66	2.07640133
67	2.059232974
68	2.040623497
69	2.026690365
70	2.01631049
71	1.999360096
72	1.979804807
73	1.968279683
74	1.953700395
75	1.938497113
76	1.927288281
77	1.911666841
78	1.889016978
79	1.870155806
80	1.860791041
81	1.845473366
82	1.833288061
83	1.8184041
84	1.801588577
85	1.790719499
86	1.774238878
87	1.755595384
88	1.745559311
89	1.735067106
90	1.728099097
91	1.717793556
92	1.705852913
93	1.688243855
94	1.679356604
95	1.664954269
96	1.649084309
97	1.637226668
98	1.629099634
99	1.618074548
100	1.612650585
101	1.606544396
102	1.591106799
103	1.583996578
104	1.572206063
105	1.559591885
106	1.548234913
107	1.536066795
108	1.51855294
109	1.508210611
110	1.495133851
111	1.490864119
112	1.478863208
113	1.46944989
114	1.459925954
115	1.452325255
116	1.442657471
117	1.43063625
118	1.420644131
119	1.410462251
120	1.401779274
121	1.389736167
122	1.380664729
123	1.373250696
124	1.364684819
125	1.353692091
126	1.344887472
127	1.334141548
128	1.323424396
129	1.320910552
130	1.312445233
131	1.303297976
132	1.295219588
133	1.287754938
134	1.281082038
135	1.275297066
136	1.270154363
137	1.259057605
138	1.252120188
139	1.2436654
140	1.236259412
141	1.230841153
142	1.220967689
143	1.214739693
144	1.212290355
145	1.207162746
146	1.198971576
147	1.189746451
148	1.184481343
149	1.178776142
150	1.169595077
151	1.165248594
152	1.153598345
153	1.150599761
154	1.145007204
155	1.137605575
156	1.135554867
157	1.12872964
158	1.12311717
159	1.119069425
160	1.117347398
161	1.110422492
162	1.106763231
163	1.097680148
164	1.091045731
165	1.086174005
166	1.078365257
167	1.072778983
168	1.068016309
169	1.061137129
170	1.058714753
171	1.051218344
172	1.044636677
173	1.040762444
174	1.03262293
175	1.025722186
176	1.018121754
177	1.010766059
178	1.004760957
179	0.9999625192
180	0.9982891591
181	0.9927358493
182	0.9858572545
183	0.980271693
184	0.9768397869
185	0.9702909241
186	0.968612503
187	0.9658543636
188	0.9625588725
189	0.9605335287
190	0.9535113348
191	0.9479454239
192	0.9393962519
193	0.9336721812
194	0.9272987351
195	0.9226737595
196	0.9153584552
197	0.9124139477
198	0.9054051049
199	0.9010984587
200	0.896437603
201	0.8908462042
202	0.8862782217
203	0.8780476021
204	0.874061979
205	0.8681666548
206	0.8620580802
207	0.8569110482
208	0.8527165961
209	0.8483623653
210	0.8441821443
211	0.8414193301
212	0.8402576555
213	0.8372517485
214	0.8333402649
215	0.8289841554
216	0.8254736077
217	0.8223797742
218	0.818484895
219	0.8129184221
220	0.8090883466
221	0.8080478389
222	0.8038257397
223	0.8009954566
224	0.8002756922
225	0.7966640475
226	0.7937985766
227	0.7904090013
228	0.7859043418
229	0.7841249578
230	0.7802581339
231	0.7795288182
232	0.7753918748
233	0.770830946
234	0.7647388021
235	0.7605142703
236	0.7568574776
237	0.7562080509
238	0.7512639509
239	0.7466465032
240	0.7440699208
241	0.7386605799
242	0.7353296899
243	0.731288699
244	0.727780133
245	0.723900121
246	0.719327627
247	0.7154456682
248	0.713456389
249	0.7103366777
250	0.7080166992
251	0.7046563307
252	0.7012847431
253	0.6997467474
254	0.6965446305
255	0.6922080635
256	0.6884969597
257	0.6874095889
258	0.685992793
259	0.6849855521
260	0.6816393535
261	0.6796423966
262	0.6792262227
263	0.6771016179
264	0.6750399942
265	0.6719011651
266	0.6691522193
267	0.6660955176
268	0.6642969798
269	0.660606631
270	0.6599056627
271	0.6569228339
272	0.6563282157
273	0.6545717637
274	0.6538815332
275	0.6527615502
276	0.6503378253
277	0.6488536828
278	0.6454857855
279	0.6429222778
280	0.6410566703
281	0.6388817578
282	0.637309
283	0.6345234098
284	0.6324640336
285	0.6312826436
286	0.6269666016
287	0.6235679456
288	0.6205375325
289	0.6175810375
290	0.6140759287
291	0.6137618511
292	0.6117893259
293	0.6113834784
294	0.6085293104
295	0.6059498627
296	0.6049959312
297	0.6023594897
298	0.5997178304
299	0.5961861697
